Tempo;Deslocamento;Força;Deformação à tração (Deslocamento);Deslocamento à tração;Quantidade de PIP;Tenacidade;Tensão à tração
(s);(mm);(kN);(%);(mm);;(N/tex);(MPa)
"0,0000";"-0,0001";"0,0000";"-0,0001";"-0,0002";"0,0000";"0,0069";"0,0001"
"0,0200";"0,0005";"0,0006";"0,0002";"0,0004";"0,0000";"0,6215";"0,0104"
"0,0400";"0,0054";"0,0058";"0,0028";"0,0053";"0,0000";"5,7759";"0,0963"
"0,0600";"0,0153";"0,0159";"0,0080";"0,0152";"0,0000";"15,8711";"0,2645"
"0,0800";"0,0271";"0,0277";"0,0142";"0,0270";"0,0000";"27,7298";"0,4622"
"0,1000";"0,0393";"0,0399";"0,0207";"0,0392";"0,0000";"39,9192";"0,6653"
"0,1200";"0,0512";"0,0517";"0,0269";"0,0512";"0,0000";"51,6985";"0,8616"
"0,1400";"0,0635";"0,0637";"0,0334";"0,0635";"0,0000";"63,7013";"1,0617"
"0,1600";"0,0761";"0,0758";"0,0400";"0,0760";"0,0000";"75,7847";"1,2631"
"0,1800";"0,0887";"0,0878";"0,0466";"0,0886";"0,0000";"87,7932";"1,4632"
"0,2000";"0,1016";"0,1000";"0,0534";"0,1015";"0,0000";"99,9648";"1,6661"
"0,2200";"0,1148";"0,1123";"0,0604";"0,1147";"0,0000";"112,3438";"1,8724"
"0,2400";"0,1282";"0,1247";"0,0674";"0,1281";"0,0000";"124,6870";"2,0781"
"0,2600";"0,1414";"0,1368";"0,0744";"0,1413";"0,0000";"136,8394";"2,2807"
"0,2800";"0,1550";"0,1491";"0,0815";"0,1549";"0,0000";"149,1063";"2,4851"
"0,3000";"0,1690";"0,1617";"0,0889";"0,1689";"0,0000";"161,7281";"2,6955"
"0,3200";"0,1830";"0,1741";"0,0963";"0,1829";"0,0000";"174,1297";"2,9022"
"0,3400";"0,1970";"0,1865";"0,1037";"0,1970";"0,0000";"186,4571";"3,1076"
"0,3600";"0,2114";"0,1989";"0,1112";"0,2113";"0,0000";"198,9080";"3,3151"
"0,3800";"0,2259";"0,2114";"0,1189";"0,2258";"0,0000";"211,4119";"3,5235"
"0,4000";"0,2405";"0,2238";"0,1265";"0,2404";"0,0000";"223,7712";"3,7295"
"0,4200";"0,2549";"0,2359";"0,1341";"0,2549";"0,0000";"235,9157";"3,9319"
"0,4400";"0,2697";"0,2482";"0,1419";"0,2696";"0,0000";"248,1650";"4,1361"
"0,4600";"0,2846";"0,2606";"0,1498";"0,2846";"0,0000";"260,5663";"4,3428"
"0,4800";"0,2997";"0,2729";"0,1577";"0,2996";"0,0000";"272,8831";"4,5481"
"0,5000";"0,3147";"0,2850";"0,1656";"0,3146";"0,0000";"285,0101";"4,7502"
"0,5200";"0,3297";"0,2971";"0,1735";"0,3296";"0,0000";"297,0800";"4,9513"
"0,5400";"0,3448";"0,3092";"0,1814";"0,3447";"0,0000";"309,1837";"5,1531"
"0,5600";"0,3603";"0,3215";"0,1896";"0,3602";"0,0000";"321,4878";"5,3581"
"0,5800";"0,3758";"0,3337";"0,1978";"0,3757";"0,0000";"333,6721";"5,5612"
"0,6000";"0,3914";"0,3459";"0,2060";"0,3913";"0,0000";"345,8509";"5,7642"
"0,6200";"0,4073";"0,3582";"0,2143";"0,4072";"0,0000";"358,1740";"5,9696"
"0,6400";"0,4233";"0,3705";"0,2227";"0,4232";"0,0000";"370,5077";"6,1751"
"0,6600";"0,4394";"0,3828";"0,2312";"0,4393";"0,0000";"382,7602";"6,3793"
"0,6800";"0,4556";"0,3951";"0,2397";"0,4555";"0,0000";"395,0853";"6,5848"
"0,7000";"0,4719";"0,4073";"0,2483";"0,4718";"0,0000";"407,3011";"6,7884"
"0,7200";"0,4883";"0,4196";"0,2569";"0,4882";"0,0000";"419,5514";"6,9925"
"0,7400";"0,5049";"0,4319";"0,2657";"0,5048";"0,0000";"431,8816";"7,1980"
"0,7600";"0,5215";"0,4441";"0,2744";"0,5214";"0,0000";"444,0812";"7,4014"
"0,7800";"0,5381";"0,4562";"0,2832";"0,5380";"0,0000";"456,2130";"7,6036"
"0,8000";"0,5546";"0,4681";"0,2919";"0,5545";"0,0000";"468,1362";"7,8023"
"0,8200";"0,5714";"0,4802";"0,3007";"0,5713";"0,0000";"480,1638";"8,0027"
"0,8400";"0,5882";"0,4922";"0,3095";"0,5881";"0,0000";"492,2315";"8,2039"
"0,8600";"0,6052";"0,5042";"0,3185";"0,6051";"0,0000";"504,2495";"8,4042"
"0,8800";"0,6221";"0,5162";"0,3274";"0,6220";"0,0000";"516,1589";"8,6026"
"0,9000";"0,6390";"0,5280";"0,3363";"0,6390";"0,0000";"527,9907";"8,7998"
"0,9200";"0,6561";"0,5398";"0,3453";"0,6560";"0,0000";"539,8391";"8,9973"
"0,9400";"0,6733";"0,5517";"0,3543";"0,6732";"0,0000";"551,7156";"9,1953"
"0,9600";"0,6906";"0,5636";"0,3634";"0,6905";"0,0000";"563,5982";"9,3933"
"0,9800";"0,7082";"0,5756";"0,3727";"0,7081";"0,0000";"575,6143";"9,5936"
"1,0000";"0,7261";"0,5878";"0,3821";"0,7261";"0,0000";"587,8024";"9,7967"
"1,0200";"0,7442";"0,6000";"0,3917";"0,7442";"0,0000";"599,9982";"10,0000"
"1,0400";"0,7625";"0,6122";"0,4013";"0,7624";"0,0000";"612,2036";"10,2034"
"1,0600";"0,7807";"0,6242";"0,4109";"0,7806";"0,0000";"624,2260";"10,4038"
"1,0800";"0,7988";"0,6360";"0,4204";"0,7987";"0,0000";"636,0250";"10,6004"
"1,1000";"0,8168";"0,6476";"0,4299";"0,8167";"0,0000";"647,6450";"10,7941"
"1,1200";"0,8348";"0,6592";"0,4393";"0,8347";"0,0000";"659,1804";"10,9863"
"1,1400";"0,8528";"0,6706";"0,4488";"0,8527";"0,0000";"670,5813";"11,1764"
"1,1600";"0,8709";"0,6820";"0,4583";"0,8708";"0,0000";"681,9911";"11,3665"
"1,1800";"0,8890";"0,6934";"0,4679";"0,8890";"0,0000";"693,3583";"11,5560"
"1,2000";"0,9074";"0,7048";"0,4776";"0,9074";"0,0000";"704,8340";"11,7472"
"1,2200";"0,9262";"0,7165";"0,4874";"0,9261";"0,0000";"716,4744";"11,9412"
"1,2400";"0,9452";"0,7281";"0,4974";"0,9451";"0,0000";"728,0966";"12,1349"
"1,2600";"0,9641";"0,7396";"0,5074";"0,9640";"0,0000";"739,5963";"12,3266"
"1,2800";"0,9834";"0,7513";"0,5175";"0,9833";"0,0000";"751,2573";"12,5210"
"1,3000";"1,0030";"0,7631";"0,5278";"1,0029";"0,0000";"763,0671";"12,7178"
"1,3200";"1,0227";"0,7747";"0,5382";"1,0226";"0,0000";"774,7472";"12,9125"
"1,3400";"1,0423";"0,7862";"0,5485";"1,0422";"0,0000";"786,2475";"13,1041"
"1,3600";"1,0619";"0,7976";"0,5588";"1,0618";"0,0000";"797,6472";"13,2941"
"1,3800";"1,0817";"0,8091";"0,5693";"1,0816";"0,0000";"809,1222";"13,4854"
"1,4000";"1,1018";"0,8207";"0,5798";"1,1017";"0,0000";"820,6993";"13,6783"
"1,4200";"1,1220";"0,8322";"0,5905";"1,1219";"0,0000";"832,2234";"13,8704"
"1,4400";"1,1420";"0,8436";"0,6010";"1,1419";"0,0000";"843,5652";"14,0594"
"1,4600";"1,1622";"0,8549";"0,6116";"1,1621";"0,0000";"854,8857";"14,2481"
"1,4800";"1,1826";"0,8663";"0,6224";"1,1825";"0,0000";"866,2574";"14,4376"
"1,5000";"1,2030";"0,8775";"0,6331";"1,2029";"0,0000";"877,5269";"14,6254"
"1,5200";"1,2234";"0,8887";"0,6438";"1,2233";"0,0000";"888,6976";"14,8116"
"1,5400";"1,2440";"0,8999";"0,6547";"1,2439";"0,0000";"899,9238";"14,9987"
"1,5600";"1,2646";"0,9111";"0,6656";"1,2646";"0,0000";"911,0705";"15,1845"
"1,5800";"1,2854";"0,9222";"0,6765";"1,2853";"0,0000";"922,2162";"15,3703"
"1,6000";"1,3061";"0,9331";"0,6874";"1,3060";"0,0000";"933,1432";"15,5524"
"1,6200";"1,3264";"0,9438";"0,6981";"1,3263";"0,0000";"943,7612";"15,7294"
"1,6400";"1,3467";"0,9542";"0,7087";"1,3466";"0,0000";"954,2347";"15,9039"
"1,6600";"1,3671";"0,9647";"0,7195";"1,3670";"0,0000";"964,7223";"16,0787"
"1,6800";"1,3880";"0,9756";"0,7305";"1,3879";"0,0000";"975,5706";"16,2595"
"1,7000";"1,4092";"0,9866";"0,7417";"1,4092";"0,0000";"986,5541";"16,4426"
"1,7200";"1,4311";"0,9978";"0,7532";"1,4310";"0,0000";"997,8254";"16,6304"
"1,7400";"1,4533";"1,0092";"0,7648";"1,4532";"0,0000";"1009,1655";"16,8194"
"1,7600";"1,4755";"1,0204";"0,7766";"1,4755";"0,0000";"1020,3508";"17,0058"
"1,7800";"1,4980";"1,0315";"0,7884";"1,4979";"0,0000";"1031,5273";"17,1921"
"1,8000";"1,5208";"1,0428";"0,8004";"1,5207";"0,0000";"1042,8018";"17,3800"
"1,8200";"1,5435";"1,0538";"0,8123";"1,5434";"0,0000";"1053,8107";"17,5635"
"1,8400";"1,5662";"1,0647";"0,8243";"1,5661";"0,0000";"1064,6890";"17,7448"
"1,8600";"1,5891";"1,0755";"0,8363";"1,5890";"0,0000";"1075,4998";"17,9250"
"1,8800";"1,6117";"1,0860";"0,8482";"1,6116";"0,0000";"1086,0087";"18,1001"
"1,9000";"1,6342";"1,0963";"0,8601";"1,6341";"0,0000";"1096,3042";"18,2717"
"1,9200";"1,6565";"1,1063";"0,8718";"1,6564";"0,0000";"1106,2535";"18,4376"
"1,9400";"1,6788";"1,1162";"0,8835";"1,6787";"0,0000";"1116,1902";"18,6032"
"1,9600";"1,7014";"1,1263";"0,8955";"1,7014";"0,0000";"1126,2612";"18,7710"
"1,9800";"1,7244";"1,1363";"0,9075";"1,7243";"0,0000";"1136,3401";"18,9390"
"2,0000";"1,7475";"1,1464";"0,9197";"1,7474";"0,0000";"1146,4269";"19,1071"
"2,0200";"1,7709";"1,1565";"0,9320";"1,7708";"0,0000";"1156,4614";"19,2744"
"2,0400";"1,7944";"1,1664";"0,9444";"1,7943";"0,0000";"1166,3805";"19,4397"
"2,0600";"1,8180";"1,1761";"0,9568";"1,8179";"0,0000";"1176,0906";"19,6015"
"2,0800";"1,8417";"1,1858";"0,9693";"1,8416";"0,0000";"1185,7620";"19,7627"
"2,1000";"1,8657";"1,1953";"0,9819";"1,8656";"0,0000";"1195,3151";"19,9219"
"2,1200";"1,8898";"1,2048";"0,9946";"1,8897";"0,0000";"1204,7838";"20,0797"
"2,1400";"1,9145";"1,2144";"1,0076";"1,9144";"0,0000";"1214,3768";"20,2396"
"2,1600";"1,9393";"1,2238";"1,0207";"1,9392";"0,0000";"1223,7806";"20,3963"
"2,1800";"1,9643";"1,2330";"1,0338";"1,9642";"0,0000";"1232,9818";"20,5497"
"2,2000";"1,9894";"1,2419";"1,0470";"1,9893";"0,0000";"1241,9498";"20,6992"
"2,2200";"2,0149";"1,2509";"1,0604";"2,0148";"0,0000";"1250,9048";"20,8484"
"2,2400";"2,0407";"1,2597";"1,0740";"2,0406";"0,0000";"1259,7061";"20,9951"
"2,2600";"2,0667";"1,2683";"1,0877";"2,0667";"0,0000";"1268,3229";"21,1387"
"2,2800";"2,0932";"1,2768";"1,1016";"2,0931";"0,0000";"1276,8364";"21,2806"
"2,3000";"2,1201";"1,2853";"1,1158";"2,1200";"0,0000";"1285,2806";"21,4213"
"2,3200";"2,1473";"1,2935";"1,1301";"2,1472";"0,0000";"1293,4653";"21,5578"
"2,3400";"2,1749";"1,3014";"1,1446";"2,1748";"0,0000";"1301,3855";"21,6898"
"2,3600";"2,2023";"1,3087";"1,1590";"2,2022";"0,0000";"1308,7477";"21,8125"
"2,3800";"2,2302";"1,3160";"1,1737";"2,2301";"0,0000";"1316,0431";"21,9341"
"2,4000";"2,2587";"1,3232";"1,1888";"2,2587";"0,0000";"1323,2314";"22,0539"
"2,4200";"2,2877";"1,3302";"1,2040";"2,2876";"0,0000";"1330,1644";"22,1694"
"2,4400";"2,3174";"1,3369";"1,2196";"2,3173";"0,0000";"1336,9347";"22,2822"
"2,4600";"2,3476";"1,3434";"1,2355";"2,3475";"0,0000";"1343,4227";"22,3904"
"2,4800";"2,3785";"1,3497";"1,2518";"2,3784";"0,0000";"1349,6798";"22,4947"
"2,5000";"2,4095";"1,3554";"1,2681";"2,4094";"0,0000";"1355,3510";"22,5892"
"2,5200";"2,4408";"1,3605";"1,2846";"2,4407";"0,0000";"1360,4781";"22,6746"
"2,5400";"2,4727";"1,3654";"1,3014";"2,4726";"0,0000";"1365,3822";"22,7564"
"2,5600";"2,5056";"1,3702";"1,3187";"2,5055";"0,0000";"1370,1517";"22,8359"
"2,5800";"2,5390";"1,3745";"1,3363";"2,5389";"0,0000";"1374,5221";"22,9087"
"2,6000";"2,5731";"1,3785";"1,3542";"2,5731";"0,0000";"1378,5447";"22,9757"
"2,6200";"2,6080";"1,3822";"1,3726";"2,6079";"0,0000";"1382,2115";"23,0369"
"2,6400";"2,6435";"1,3854";"1,3912";"2,6434";"0,0000";"1385,4500";"23,0908"
"2,6600";"2,6794";"1,3882";"1,4102";"2,6794";"0,0000";"1388,2269";"23,1371"
"2,6800";"2,7159";"1,3905";"1,4294";"2,7158";"0,0000";"1390,5319";"23,1755"
"2,7000";"2,7530";"1,3925";"1,4489";"2,7529";"0,0000";"1392,4727";"23,2079"
"2,7200";"2,7910";"1,3943";"1,4689";"2,7909";"0,0000";"1394,2579";"23,2376"
"2,7400";"2,8298";"1,3958";"1,4893";"2,8297";"0,0000";"1395,7772";"23,2630"
"2,7600";"2,8691";"1,3969";"1,5100";"2,8690";"0,0000";"1396,8522";"23,2809"
"2,7800";"2,9087";"1,3975";"1,5309";"2,9086";"0,0000";"1397,4734";"23,2912"
"2,8000";"2,9488";"1,3978";"1,5520";"2,9488";"0,0000";"1397,7532";"23,2959"
"2,8200";"2,9895";"1,3978";"1,5734";"2,9895";"0,0000";"1397,8416";"23,2974"
"2,8400";"3,0309";"1,3978";"1,5952";"3,0308";"0,0000";"1397,7738";"23,2962"
"2,8600";"3,0728";"1,3975";"1,6172";"3,0727";"0,0000";"1397,4636";"23,2911"
"2,8800";"3,1153";"1,3970";"1,6396";"3,1152";"0,0000";"1396,9901";"23,2832"
"2,9000";"3,1581";"1,3963";"1,6621";"3,1580";"0,0000";"1396,2583";"23,2710"
"2,9200";"3,2010";"1,3952";"1,6847";"3,2010";"0,0000";"1395,1541";"23,2526"
"2,9400";"3,2441";"1,3938";"1,7074";"3,2441";"0,0000";"1393,8230";"23,2304"
"2,9600";"3,2872";"1,3922";"1,7301";"3,2871";"0,0000";"1392,2031";"23,2034"
"2,9800";"3,3305";"1,3905";"1,7529";"3,3304";"0,0000";"1390,5065";"23,1751"
"3,0000";"3,3737";"1,3886";"1,7756";"3,3736";"0,0000";"1388,5782";"23,1430"
"3,0200";"3,4172";"1,3867";"1,7985";"3,4171";"0,0000";"1386,7388";"23,1123"
"3,0400";"3,4607";"1,3848";"1,8214";"3,4606";"0,0000";"1384,8047";"23,0801"
"3,0600";"3,5046";"1,3830";"1,8445";"3,5046";"0,0000";"1383,0249";"23,0504"
"3,0800";"3,5493";"1,3815";"1,8680";"3,5492";"0,0000";"1381,4923";"23,0249"
"3,1000";"3,5937";"1,3797";"1,8914";"3,5936";"0,0000";"1379,6520";"22,9942"
"3,1200";"3,6380";"1,3777";"1,9147";"3,6380";"0,0000";"1377,6770";"22,9613"
"3,1400";"3,6824";"1,3757";"1,9381";"3,6824";"0,0000";"1375,6609";"22,9277"
"3,1600";"3,7266";"1,3734";"1,9613";"3,7265";"0,0000";"1373,4360";"22,8906"
"3,1800";"3,7706";"1,3712";"1,9845";"3,7705";"0,0000";"1371,1581";"22,8526"
"3,2000";"3,8144";"1,3688";"2,0075";"3,8143";"0,0000";"1368,8246";"22,8137"
"3,2200";"3,8579";"1,3664";"2,0304";"3,8578";"0,0000";"1366,4233";"22,7737"
"3,2400";"3,9018";"1,3643";"2,0535";"3,9017";"0,0000";"1364,3450";"22,7391"
"3,2600";"3,9459";"1,3624";"2,0767";"3,9458";"0,0000";"1362,4237";"22,7071"
"3,2800";"3,9903";"1,3607";"2,1001";"3,9902";"0,0000";"1360,6823";"22,6780"
"3,3000";"4,0349";"1,3590";"2,1236";"4,0349";"0,0000";"1359,0112";"22,6502"
"3,3200";"4,0795";"1,3572";"2,1471";"4,0794";"0,0000";"1357,2476";"22,6208"
"3,3400";"4,1242";"1,3555";"2,1706";"4,1242";"0,0000";"1355,5402";"22,5923"
"3,3600";"4,1685";"1,3535";"2,1939";"4,1684";"0,0000";"1353,5106";"22,5585"
"3,3800";"4,2122";"1,3513";"2,2169";"4,2121";"0,0000";"1351,2858";"22,5214"
"3,4000";"4,2563";"1,3494";"2,2401";"4,2562";"0,0000";"1349,3801";"22,4897"
"3,4200";"4,3003";"1,3475";"2,2633";"4,3003";"0,0000";"1347,4911";"22,4582"
"3,4400";"4,3441";"1,3455";"2,2863";"4,3440";"0,0000";"1345,5349";"22,4256"
"3,4600";"4,3880";"1,3437";"2,3094";"4,3879";"0,0000";"1343,6523";"22,3942"
